"","naive B cells","memory B cells","Plasma cells","CD8 T cells","naive CD4 T cells","resting CD4 memory T cells","activated CD4 memory T cells","follicular helper T cells","regulatory T cells (Tregs)","gammadelta T cells","resting NK cells","activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","resting dendritic cells","activated dendritic cells","resting Mast cells","activated mast cells","Eosinophils","Neutrophils"
"GSM416536",0.230023138829901,0,0.108989207292842,0.223532275957914,0,0,0.0512219314155235,0.0742707099580178,0,0.0367870830713558,0,0.0824950358918496,0.0142417333530514,0,0,0.0330753124770768,0.0426994578526479,0.0217543232590399,0.0809097906407811,0,0,0
"GSM416537",0,0.139503609263484,0,0,0,0.261738313563306,0,0,0,0.144387988539653,0,0,0,0.0999127400723273,0,0,0,0.0645566730066232,0.0633339301274745,0,0.12727334282781,0.0992934025993221
"GSM416538",0,0.228569792013797,0.0175924241933446,0,0.0325056123439407,0,0,0.0354787448637209,0,0,0.00739720499186668,0.00502389326863108,0.161781516206139,0.223345687252184,0,0,0,0.0656466769372965,0.169618212961223,0,0,0.0530402349678552
"GSM416539",0,0,0.0484686961688042,0,0,0.0120554483854403,0,0,0.00500911157431301,3.58471534929474e-05,0.0325037182768821,0,0.153745749167865,0.119724493083529,0.00392312679143255,0.116302591283543,0,0,0,0.142034359640657,0.135278965885988,0.230917892588052
"GSM416540",0,0.13300901772729,0,0.00916116814176903,0,0.194461950094634,0.00841470459747473,0,0,0.054448612874857,0.0498711765016108,0.125222150434826,0.199332410745791,0,0,0.0419085438851446,0.139466088300998,0.0188065563514979,0.0258976203441059,0,0,0
"GSM416541",0,0.0875810249480332,0,0.00985648313412737,0,0.189495554796333,0.037427938108904,0,0.000509805338316082,0,0.0553191963699445,0,0,0.140074665817342,0,0.0201794718405887,0,0.010268441972153,0.128135764259305,0,0.132782202819642,0.188369450595311
"GSM416542",0,0.01440794225595,0.307097728364977,0,0.0149168578375272,0.0744536237030041,0.0704005059236371,0.0297537148836417,0.00858627285375525,0.108553573725937,0,0.0487576135686712,0,0.0439442205195412,0,0.0117239176921929,0,0,0.0430593922482756,0,0.0832128321079526,0.141131804314937
"GSM416543",0,0.0896698560727206,0,0,0,0.485566466521157,0.0355747022072486,0,0,0,0.0979211372582588,0,0.0111450236912117,0.0465777716948574,0,0,0,0.0575837912855255,0.0330958534416876,0.0387826939218095,0.104082703905524,0
"GSM416544",0,0.0340926220425909,0,0.105660256607914,0,0.141818578281179,0.126365287529716,0,0,0,0.0122174761193358,0.162235804180141,0.00791189008485606,0.0610996388630616,0,0.0651668773799343,0,0,0.0416637811711231,0,0.128202683108267,0.113565104631881
"GSM416545",0,0,0.0392445569780011,0,0.296496058287399,0,0,0.0284761640214379,0,0.171486650832905,0.0285054665081251,0.0773308903900975,0,0,0.0254812181017013,0,0,0.111416960414056,0,0.125629073353502,0.0620549681925988,0.0338779929201757
