"","GSM1406033","GSM1406034","GSM1406035","GSM1406036","GSM1406037","GSM1406038","GSM1406039","GSM1406040","GSM1406041","GSM1406042","GSM1406043","GSM1406044","GSM1406045","GSM1406046","GSM1406047","GSM1406048","GSM1406049","GSM1406050","GSM1406051","GSM1406052","GSM1406053","GSM1406054","GSM1406055","GSM1406056","GSM1406057","GSM1406058","GSM1406059","GSM1406060","GSM1406061","GSM1406062","GSM1406063","GSM1406064","GSM1406065","GSM1406066","GSM1406067","GSM1406068","GSM1406069","GSM1406070","GSM1406071","GSM1406072","GSM1406073","GSM1406074","GSM1406075","GSM1406076","GSM1406077","GSM1406078","GSM1406079","GSM1406080","GSM1406081","GSM1406082","GSM1406083","GSM1406084","GSM1406085","GSM1406086","GSM1406087","GSM1406088","GSM1406089","GSM1406090","GSM1406091","GSM1406092","GSM1406093","GSM1406094","GSM1406095","GSM1406096","GSM1406097","GSM1406098","GSM1406099","GSM1406100","GSM1406101","GSM1406102","GSM1406103","GSM1406104","GSM1406105","GSM1406106","GSM1406107","GSM1406108","GSM1406109","GSM1406110","GSM1406111","GSM1406112","GSM1406113","GSM1406114","GSM1406115","GSM1406116","GSM1406117","GSM1406118","GSM1406119","GSM1406120","GSM1406121","GSM1406122","GSM1406123","GSM1406124"
"LRRC28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124107,0,0,0,0.428263,0.0346479,0,0.678975,0,0,0,0,0,0,0,0,0,0.0622807,0.3067,0,0.0986996,0.3918,0,0,0,0,0,0,0.2521,0,0,0,0,0,0.3831,0,0,0.0131998,0,0.0897999,0.00949955,0,0,0,0.311768,0,0,0,0,0,0,0,0,0.113909,0,0,0,0.0790997,0,0,0,0,0,0.416819
"ACTL6A",0,0,0,0,0.3662,0,0,0,0.0171003,0,0,0,0,0,0,0.1334,0,0,0,0.1306,0.2047,0,0,0,0,0,0.464414,0,0.605024,0,0,0,0,0,0.00178719,0,0.0257225,0.178139,0.853342,0.133943,0.112573,0,0,0,0.131715,0,0,0,0,0,0,0,0,0,0.8463,0.0474005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076149,0.00836849,0.405614,0,0,0,0,0,0.49412,0,0.0969715,0,0.0518503,0,0.0137339,0,0,0,0,0,0,0,0
"TMTC1",1.2206,0,0,0,0,0.1669,0,0.3378,0,1.3237,0,1.4792,0,0,0,0,0,0,0,0.5565,0,0.3287,0,0,0,0,0,1.12256,0,0.942369,0.286385,2.33283,1.62509,0,2.26443,1.21125,2.37499,0,0,0.352814,1.63561,0,0,1.8356,0.51636,0,0,0,0,1.4692,1.691,2.3862,0,0,0,0.9276,0,0.3188,1.5825,1.6878,0.2781,0,1.5841,0.8103,1.2784,0,2.2513,1.3267,0,2.0469,0.805601,0,0,0,1.89066,0.937298,2.25631,0,0,0,0.973073,0,1.03096,1.69143,0,2.45946,0.336039,1.92647,0,2.48575,1.87535,0
"ADAM1A",0,0,0,0,0.892,0,0,0.1752,0,0.2068,0,0,0,0,0,0,0,0,0,0,0,0,0.1255,0,0,0,0.343062,0,0.23668,0,0,0,0.592949,0,0.253293,0,0,0.553459,0.514644,0.231837,0,0,0,0,0,0,0,0,0,0,0,0,0.1443,0.4499,1.3328,0,0,0,0,0,0.0574999,0,0,0,0,0,0,0,0,0.473078,0.00069046,1.18195,0.181994,0,0,0,0,0.74518,0,0.0562506,0,0.355684,0,0.256505,0,0,0,0,0,0,0,0.280897
"P4HTM",0,0,0,0,0.528,0,0,0,0,0.0478001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174311,0.1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613995
"LAGE3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1166,0,0,0,0.305,0,0,0,0,0,0,0,0,0.120148,0,0,0.563468,0.0781317,0,0.158353,0,0,0,0,0,0,0,0,0.00666618,0.458729,0,0,0,0,0.0235004,0,0,0,0,0,0,0,0.0060997,0,0,0,0,0,0,0,0,0,0.0418997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183597,0,0,0,0,0,0,0,0.108052
"PLBD2",0,0,0,0.0288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2703,0,0,0,0,0,0,0.0763769,0,0,0,0,0,0,0,0.492306,0.136399,0,0,0,0,0,0,0.0260658,0,0,0,0,0,0,0,0,0,0.1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541598,0,0.601636,0.325597,0,0,0,0,0,0,0.217698,0.0327311,0,0.731507,0,0,0,0
"ERCC6",0.26,0.0936003,0.3966,0.0625,0,0,0,0,0,0.0128002,0,0.1819,0,0,0,0,0,0,0,0,0,0,0.00660038,0,0,0,0,0.155106,0,0,0,0,0,0,0,0,0,0.343281,0,0,0.238475,0.0801573,0,0,0,0,0,0,0,0,0,0,0,0,0.1874,0.231,0,0,0,0.0448999,0.1318,0,0,0,0,0,0,0,0,0.468316,0.317364,0.446821,0,0,0,0,0,0.0175428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153243
"RECQL5",0,0,0,0,0,0,0,0,0,0,0,0,0.0676003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499315,0,0.229869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444641,0,0,0.0207844,0,0,0
"MIS18A",0.242,0,0,0,0.8638,0.1063,0.0455999,0.2061,0.3848,0.9561,0,0.5725,0,0.504,0,0.00179958,0,0.2724,0,0.7694,0.1682,0,0,0,0,0,0,0,0.160238,0,0,0,0,0,0,0,0,0.374156,0.375474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8072,0,0,0,0,0,0.1044,0,0,0,0,0,0,0,0,0,0.140008,0.502603,0,0,0,0,0,0.113489,0,0.158726,0,0.230548,0,0,0,0,0,0,0,0,0,0
