"","GSM1406033","GSM1406034","GSM1406035","GSM1406036","GSM1406037","GSM1406038","GSM1406039","GSM1406040","GSM1406041","GSM1406042","GSM1406043","GSM1406044","GSM1406045","GSM1406046","GSM1406047","GSM1406048","GSM1406049","GSM1406050","GSM1406051","GSM1406052","GSM1406053","GSM1406054","GSM1406055","GSM1406056","GSM1406057","GSM1406058","GSM1406059","GSM1406060","GSM1406061","GSM1406062","GSM1406063","GSM1406064","GSM1406065","GSM1406066","GSM1406067","GSM1406068","GSM1406069","GSM1406070","GSM1406071","GSM1406072","GSM1406073","GSM1406074","GSM1406075","GSM1406076","GSM1406077","GSM1406078","GSM1406079","GSM1406080","GSM1406081","GSM1406082","GSM1406083","GSM1406084","GSM1406085","GSM1406086","GSM1406087","GSM1406088","GSM1406089","GSM1406090","GSM1406091","GSM1406092","GSM1406093","GSM1406094","GSM1406095","GSM1406096","GSM1406097","GSM1406098","GSM1406099","GSM1406100","GSM1406101","GSM1406102","GSM1406103","GSM1406104","GSM1406105","GSM1406106","GSM1406107","GSM1406108","GSM1406109","GSM1406110","GSM1406111","GSM1406112","GSM1406113","GSM1406114","GSM1406115","GSM1406116","GSM1406117","GSM1406118","GSM1406119","GSM1406120","GSM1406121","GSM1406122","GSM1406123","GSM1406124"
"LOC643733",1.0484,0.9017,1.0254,0.6211,1.9131,0.6487,0.5931,0.8205,1.1254,0.6394,0.735,0.3817,0.4954,1.1628,1.1064,1.0346,0.8403,0.5268,0.5984,0.6301,0.5668,0.5125,0.9772,0.964911,0.793939,0.723018,1.11032,0.771538,0.910973,0.634184,0,0.370917,1.11048,0,0.79332,0.927882,0.723711,1.84301,1.32873,1.12498,0,0.112962,0.392667,0,1.14339,0.999734,1.0295,0.0153999,0.7953,0.4322,0.8655,0,0.7631,0.7421,1.9087,1.0247,0.7681,0.2002,0.209,0,0.4979,0,0,0.3466,0.7641,0.8542,0.2978,0.2796,0.774,1.479,1.13859,1.68047,1.03002,0.435152,0,1.26467,0.739662,1.76794,0.168482,0.898948,0.681838,1.11134,0.316828,1.43293,0.131548,0,0.255824,0,0.549055,1.00603,1.06654,1.68374
"TBC1D25",0.8249,0.7806,0.8371,0.8176,0.0143995,0.4265,0.868,0.2439,0.3606,0.2374,0.2931,0.5222,1.0427,0.504,1.2506,0.6945,0.6636,1.0825,1.2125,0.7568,0.5853,0.9518,0.8547,1.14803,0.596658,0.955265,1.16034,0.797365,0.461822,0.843361,0.996712,0.585027,0.882779,1.6054,0.271886,0.991086,0.0390596,0.766269,0.00337315,0.442785,0,1.07218,0.701459,1.03101,0.0630274,1.06901,1.1512,0.6999,0.2459,1.0354,0.5166,0.9483,0.6089,0.3806,0,0.0902996,1.5277,0.7018,0.7325,0,0.4478,0.6575,1.4974,1.4548,1.0817,0.4941,0.3704,1.4246,0.6826,0.0316572,0.323532,0.388796,0.297912,1.26407,1.06578,0.217355,0.399865,0,0.58099,0.555072,0.350382,0.072834,0.540789,0.507562,0.874007,0.913263,1.07526,1.47804,0.84696,0.783199,0.924943,0
"COPS7B",1.0064,1.0081,1.1377,0.9238,1.0041,0.6928,0.4489,0.4325,1.0364,0.9588,0.8898,0.5725,0.6504,0.822,0.6442,0.7533,0.5335,0.4899,0.7554,0.6273,1.1372,0.6281,0.5588,0.666427,0.922581,1.0857,0.553492,1.03843,0.805412,0.883783,0.543711,0.513647,0.383977,1.03287,0.649055,0.303322,0.715428,1.14311,0.533473,0.537718,0.746421,0.935807,0.622296,0,0.786651,1.03973,0.9677,0.00479984,0.6064,0.6922,1.0147,0.478,0.1715,0.0193005,0.5809,0.7283,0.8237,0.4821,0.7104,0.6265,0.725,0.6691,0.7205,0.5896,0.5053,0.7328,0.1109,0.5464,0.4272,0.684905,0.637552,1.15733,0.598463,0.452414,0.529954,0.641026,0.448995,0.902223,0.125879,0.852138,0.715609,0.769636,0.143412,0.841311,0.679001,0,0.85474,0.823881,0.678876,0.647242,0.949528,0.965161
"RP13-258O15.1",0,0,0,0,2.7074,0,0.5617,0.3893,0.3636,0.3777,0.1775,0.6137,0,0.5481,0.4768,0.9249,0.5931,0.6254,0,1.4403,0.5097,0,0,0.705903,1.18448,0.120522,0.94894,0.988855,0.605024,1.01241,0,0.852187,1.09683,0.38559,1.16228,0.0159969,1.1249,2.11388,2.86052,1.09755,0.189425,0,0.183188,0.788929,0.73397,0.850325,0.5788,0.9796,0.9497,0.922,0.3468,0.5111,1.2645,0.9783,2.7822,0.5168,0.0703001,0,0.0508003,0.5371,0,0.4503,0,0,0,1.2011,0.9393,0.5808,1.5619,2.70275,0.647419,3.16513,1.51935,0.289082,0.433252,1.73316,0.865627,2.61362,0.466146,1.21658,1.10917,1.40406,0,2.78761,0,0,0.569645,0,0.168662,2.6712,1.22598,1.66826
"CLN3",0.5506,0.5591,0.6167,0.9053,0.2975,0.6147,0.6111,0.3859,0.7377,0.6394,0.6259,0.2595,0.5131,0.4497,1.0982,0.3821,0.8887,0.3152,1.0195,0.5852,0.8762,1.0155,0.8859,0.694734,0.544296,0.817232,0.816033,0.758449,0.0870466,0.680812,1.09337,0.86043,0.775446,0.974234,0.143148,0.39246,0.416523,1.01182,0,0.710676,0.232434,0.722796,0.523457,0.724765,0.625867,1.1212,0.8562,0.6189,0.2665,1.2943,0.927,1.291,0.5645,0.3237,0.3203,0.4318,0.6434,0.4362,0.8585,0.174,0.3343,0.9526,0.8943,0.7247,0.7641,0.4862,0.5327,0.5977,0.5312,0.515237,0.475284,0.872854,0.443468,0.559842,1.2259,0.513145,1.18851,0.669491,0.89507,0.534043,0.678036,0.807686,0.550406,0.793113,0.985648,0.240806,0.953403,1.66446,1.05993,1.09084,0.906225,0
"POT1",0.116,0.3995,0.2187,0.4049,1.1182,0.2191,0.0112,0.3131,0.2494,1.3237,0.2215,0.6609,0,0.4671,0.3053,0.2381,0.7708,0.591,0.5287,0.2717,0.6746,0,0.3176,0.744328,0.773866,0.609884,0.908987,0.80375,1.46427,0.843361,0.24957,0.599874,0.523199,0.38559,0.806133,0.348579,1.43088,1.61643,1.38757,1.23925,0.481963,0.378806,0.611642,0.497864,0.615625,0.83336,0.863,1.0789,0.7522,0.2411,0.7141,0.6953,0.5969,1.2043,2.1466,0.9217,0.7869,0.3103,0.4616,0.821,0.8894,0.6633,0,0.4239,0.4423,0.4783,0.8587,0.2901,0.827,1.88663,1.58613,1.91878,0.691487,0,0,0.590434,1.14941,1.54253,0,0.947472,0.429391,1.37056,0.661065,1.48153,0.0864639,0.178281,0.847916,0.187617,0,0.977962,0.931129,1.47267
"CTRL",0.506,0.0366001,0.0719995,0.2832,0.00150013,0.0899,0.0304003,0,0,0.2546,0.0780001,0.0129004,0.0866003,0,0.607,0.0267,0.4315,0,0,0,0.5065,0.5324,0.1417,1.09379,1.14985,1.69435,1.52583,0.931698,0.948649,1.21213,1.00778,0.908926,1.9815,0,0.936165,0.200105,0.796193,1.02647,0.626607,0.692452,0.226368,0.570508,1.26079,0.45104,0.197281,1.17157,1.0475,0.7388,1.3208,0.922,0.3974,0.6365,1.0266,0.8039,0.5676,0.9246,0.906,0.2585,0.5639,0.3896,0.9574,0.8334,1.1548,0.9735,1.3314,1.2059,0.9427,1.1605,0.00949955,0.680795,1.4686,1.3434,1.33488,1.456,0.66916,0.641026,0.496507,0.872996,1.26752,0.771777,0.460707,0.868955,0.713366,0.481729,1.05164,0.81394,1.11559,0.38246,0.777308,1.01789,0.740007,0.480261
"FBXO34",0,0.0523996,0,0.2119,0.0732002,0.246,0.0902996,0,0.2328,0.1201,0.3306,0.2783,0,0.3994,0.6442,0.267,0.3417,0.2724,0.2809,0,0.423,0,0.4248,1.15212,0.407681,0.591181,0.95767,0.988855,1.36868,0.339461,0.813368,0.848047,0.825978,1.16377,0.259517,0,1.03124,1.20452,1.06596,0.974734,1.20085,0.88353,0.829567,0,0.792724,0.733259,0.9803,1.7556,0.6579,0.5406,0.4159,1.4462,1.297,0,1.2054,1.0548,1.1523,0.8108,1.0644,1.2593,1.0369,0.5607,1.1509,0.8544,0.7537,0.5175,1.2885,0.5551,0.4707,1.17735,1.50975,1.57663,0.486862,0.90521,0.166204,0.550272,1.13947,1.37097,0,1.08106,0.853451,0.950581,0.960584,1.45079,0.671389,1.60217,0.527561,0.567514,0.339494,1.06057,1.0833,1.36634
"LOC101060405",1.4908,1.2645,1.2972,1.0686,1.4934,0.6643,0.8157,1.1989,0.9976,1.3298,0.6359,1.3719,0.5166,1.3095,1.0307,0.9167,1.0513,1.0651,1.2803,1.4037,1.3217,0.9695,0.6969,0.694734,0.838106,0.546574,1.20868,0.576512,0.467601,0.812283,0.573806,0.318025,0.677939,0.247673,0.520191,1.04707,0.305022,1.21735,0.167347,0.317574,0.291734,0.692729,0.421418,1.64767,0.37375,0.894616,0.6434,0.00479984,0.2918,0.9684,0.8059,0.0162001,0.1054,1.0972,0.5743,0.6154,0.0804005,0.0455999,0.0855999,0.0859003,0.2282,0.3233,1.271,0.3466,0.5774,0.5707,0.2601,0.4192,0.3257,0.0948048,0.556081,0.18957,0.226562,0.59135,0.609557,0.693596,0.241562,0.838853,0.483122,0.848735,0.752227,0.606528,0.217715,0.172875,0.922915,0.600051,0.510378,1.05108,0.633606,0.536146,0.298246,0.360127
"CHN2",1.2083,0.5846,0.6355,0.7451,0.435,0.8372,0.6111,0.6137,0.8223,0.9848,0.5772,1.2841,0,0.3441,0.4479,1.0005,1.0793,0.9004,1.0847,0.8568,0.8661,0.5981,0.3542,0.590118,0.0636015,0.768121,1.40656,1.08635,1.02117,0,0,1.17327,0.621839,0,0.762971,0.781546,1.7496,0.941413,1.63429,0.806996,1.38366,0.705691,0.77968,0.402646,0.872303,0,0.4217,0.1656,1.012,0.4778,0.9442,1.0282,1.2365,0,1.844,1.1741,0.0183001,0.8492,0.3869,1.3958,0.884,0.457,0.4984,0,0,0,0.6948,0,0,1.41116,1.34974,1.07562,0.879993,0,0,0.660021,0.992561,1.8126,0,1.65485,0.662729,0.995232,1.24447,0.952068,1.05164,0.567895,0.0571575,0.499119,0,1.11313,0.288643,0.920115
"MED19",0.3298,0.4361,0.3057,0.6468,0.6433,0.6032,0.4546,0.2916,0.5251,0.3216,0.3151,0.0129004,0.2809,0.099,0.3986,0.3749,0.6873,0.2549,0.5769,0.5881,0.3161,0.3423,0.2771,0.666427,0.690661,0.553031,0.541928,0.937517,0.872287,0.731528,0.742273,0.476587,0.80933,0.314648,0.872613,1.07875,1.32326,0.700792,0.771868,1.22029,0.891487,0.852783,0.681223,0.344054,1.11943,0.757445,0.9989,0.1368,0.9592,1.0994,0.8152,0.9288,0.8362,0.1441,0.6457,0.6409,0.6973,0.9936,0.57,0.8179,0.8403,0.6749,0.6613,0.778,0.7946,0.9605,0.7346,0.4474,1.1427,1.03327,0.676624,0.955126,0.856552,0.801263,0.663842,0.697279,1.0887,0.93087,0.849974,0.841908,0.447369,0.620848,0.890384,0.684066,0.709057,0.0904627,0.658122,0.846078,0.945513,0.759841,0.560119,0.832532
"NUDT9",1.2328,0.7027,0.9374,1.0374,1.273,0.5003,0.3015,1.0744,0.9738,0.9614,0.3025,0.5103,0.6504,1.056,0.5509,0.6412,0.7131,0.5122,0.9971,0.7917,1.0773,0.4718,0.1025,0.946195,0.496102,0.658605,0.631945,1.08111,1.07894,0.898654,0.13313,0.77143,0,0.466358,0.338082,0.348579,0.740136,1.35527,1.04549,1.04465,0.840769,0.579926,0.346296,0,0.9119,0.592466,1.0887,0.533,0.3652,0.195,0.2742,0.451,0.3813,0.5344,1.1662,1.0302,0.5875,0.6356,0.8933,0.7335,0.8894,0.2162,0,0,0.8635,0.1984,0.6539,0.4933,0.4467,1.63373,1.11032,1.83435,0.372525,0.289082,0,0.500554,0.278272,1.77698,0,1.14626,0.591761,1.38741,0.382905,0.820851,0.543781,0,0.895018,1.22208,0.0942326,1.09084,1.1378,1.47712
"DHRS7B",0.6311,0.46,0.6355,0.2832,0.2141,0.2161,0.0830002,0.1712,0,0.555,0.1912,0.1819,0,0,0.5748,0.2004,0.45,0.2461,0.4317,0.4322,0.6097,0.8412,0.4035,0.403778,0.249513,0.822587,1.09061,0.810107,0.223079,0.264904,0.819661,0.864534,0.975233,0.492306,0.663209,0.413909,0.711269,0.663784,0.292634,0.517155,0.575606,0.603203,1.29892,0.943513,0.60531,0.625692,1.1288,1.2501,0.9592,1.6482,0.8059,1.2948,0.7631,0.5298,0.6136,0.7181,0.3892,0.679,0.6935,0.714,0.8623,1.3998,0.9176,1.2149,0.8731,0.9547,1.1364,0.9661,0.7779,0.634792,1.00681,0.541166,0.702048,0.984478,1.29976,0.262797,0.913087,0.391858,0.907699,0.567545,0.420317,0.703901,0.920359,0.286657,1.11755,0.827585,1.1099,1.49218,1.01525,1.01789,0.71154,0.369731
"PI4K2B",0.6219,0.7422,0.665,1.0079,1.698,0.6216,0.543,0.5275,0.6175,1.5655,0.3552,0.9918,0,0.7833,0.1707,0.5628,0.9223,0.8777,0.2967,0.7643,0.4435,0.5244,0.3708,0.818238,0.242227,0.307816,1.22323,1.21169,1.77275,0.753509,0,0.784486,1.01933,0.0257921,0.776056,0,1.36092,2.07212,2.07806,1.58382,0.729363,0.657582,0.307215,0,1.11459,0,0.7863,0.5979,0.7739,0,0.5166,0.5499,1.1491,0.4156,2.3212,1.6848,1.0265,0.4896,0.7488,0.8832,1.1169,0.1759,0,0,1.0609,0,0.4394,0.7029,0.7585,2.15308,1.95529,2.35738,0.615321,0.477924,0,0.637196,0.448995,2.02109,0,1.52017,1.19945,1.2742,0,1.60632,0,0.300734,0,0,0,1.00603,1.02666,2.08747
"FHL1",0.248,0.5517,0.531,1.1061,0,0.561,0.516,1.148,0.5681,0.9925,1.0448,1.08,0.4918,0.7075,0.5449,1.5297,1.1641,1.5088,0.542,0.8234,0.9826,0.4256,1.1523,1.76493,0.249513,0,0.482675,0.771538,0.701356,0.536147,0.8007,0,0.792487,0.813716,0.0600033,1.00999,1.02455,1.19591,1.07333,0.0997772,1.04068,1.47684,0,1.11851,0.866556,0.351593,1.7736,0,0.1101,0.4584,0.4877,1.3174,0.4888,0.6525,1.3249,0.489,0.461,0.0957003,0.7159,1.0216,1.4576,0,1.3516,0.7042,0.8344,0,0,0.0656996,0.6948,1.19475,0.612582,1.68047,0.174431,0.486329,0,0.641026,1.52272,0.821473,0.294045,0.831602,0.873536,0.606528,0.393629,0.557881,0.449009,1.38866,0,0.221974,0,0.360945,0.732943,0.67876
"LOC101927365",1.1224,0.9276,1.0675,1.059,1.2108,0.6531,0.1229,0.9335,0.9084,0.9718,0.4746,0.6716,0.6116,0.6067,0.7711,0.7955,0.9765,0.9556,0.8935,0.9371,0.5975,0.7108,0.482,1.05064,1.12233,0.307816,0.362915,0.847672,0.223079,1.16371,0.844562,0.908926,1.02655,0.684628,0.920538,0.448965,0.451854,1.01182,0.912077,1.374,0.725067,0.768812,0,0.587185,1.06276,0.664579,0.9677,0.8904,0.1714,0.9866,0.6214,0.2617,0.2243,0.445,0.8297,0.8075,0.5732,0.6986,0.9883,0.5297,0.5598,0,0.0881996,0.1073,0.8921,0.6715,0.7109,0.9399,0.4563,1.19763,0.273434,1.36936,1.16209,0,0.684997,0.483594,0,1.05131,0.00178528,1.01884,0.579587,0.355684,0,0.57427,0,0,0.711725,0.152423,0.387034,1.29312,1.34659,1.28238
"CD180",0.7964,0.716,0.7433,1.0614,0.3895,0.6509,1.0804,0.4027,1.922,0.9376,0,0.7273,0.7876,1.5483,0.9301,0.4753,0.3417,0.7617,0.8795,1.192,0.7909,0,0.9462,0.197682,0.619333,1.55008,0.966347,0,0.676623,0.0148869,0.0605974,0.433034,0.705192,1.40142,0.349798,0.759374,0.421623,0.867389,0.885104,0.5928,0.690231,0.163946,0.285036,0.00900269,0.577438,0.100599,0.2455,0.2755,1.7014,0.6009,0.6267,0.2924,0.4271,0.3907,0.7436,0.6044,0.2964,0.3847,0,0.5555,0.6191,0.0918999,0.6831,0.6118,0.143,0.8169,0.4915,0.4567,0.8491,0.847743,0.676624,0.422238,0.365899,1.40815,0.653147,0.513145,1.07833,1.5531,1.32515,0.918555,0.473923,1.50014,0.956974,0.14022,0.919706,0.74371,0.466502,1.97764,1.14765,0.828808,0.815512,0.839462
"RPAP3",0.6987,0.2248,0,1.113,1.3733,0.4028,0.6263,0.6786,0.1109,1.3856,0.2014,1.0746,0.2045,0.2768,0.9324,0.567,0.9134,0.9744,0.3683,0.3872,0.906,0.799,0.119,1.09804,0.738052,0.021554,1.25545,0.966263,0.876637,0.753509,0.365935,0.421937,1.13741,0,0.955465,0.0889301,1.24486,1.42328,1.44126,0.802755,0.476863,0.537056,0.691377,0.801426,0.389864,0.286599,0.8425,1.0839,0.6344,0.385,0.8291,0.3811,0.8697,0.8449,1.9452,0.8856,0.5294,0.3439,0.6535,0.4219,0.8123,0.6219,0,0.7516,0.5358,0.3796,0.4394,0.3511,0.1587,1.6316,1.63158,1.77086,1.07133,0.725192,0.104736,0.686203,0.726438,1.53189,0,0.698063,0.508584,0.984198,0.564711,1.05493,0.0280523,0.543298,0.448571,0,0,1.25687,0.71871,0.933129
"INPP4B",0.7799,0.8753,0.7467,0.7687,1.7283,0.4677,0.5617,0.9879,0.9251,0.3579,0.7138,0.8231,0.2219,1.1996,0,0.3821,0.6042,0.7145,0.2915,0.845,0.7936,0,0.4354,1.1149,0.880961,1.27337,1.00476,1.20688,1.08647,1.39804,0,0.410754,1.59627,0.433253,0.278031,0.377981,0.237211,1.74601,1.20332,0.897285,0.906741,0.833229,0.129433,0.132842,1.19474,0.578958,1.1842,0,0.8303,0.3363,0.616,0,0.6974,0.8884,1.7172,1.363,1.2635,0.4555,0.8884,0.8118,0.1318,0.2002,0,0,0.4098,0,0,0.801,0.9951,1.40867,0.622623,2.01508,1.04669,0.298658,0,1.14302,0.349003,1.42662,0.104096,0.982048,1.22833,0.730555,0.311183,1.78945,0.663736,0,0,0,0.444336,0.702191,1.28995,2.02197
"NSG1",0.506,1.5779,1.4084,0.3394,0.184,0.4291,0.1229,0.6675,0,2.1891,0.8342,0.7777,0,1.1449,0.3265,1.6414,0,0.4171,1.2856,0,1.3759,0,1.5498,1.95947,0,0.71728,1.52876,1.37067,1.76339,0.339461,0.742273,0.77143,0,1.30954,0.440251,1.14438,0.880105,1.15649,1.58357,1.42732,0,0.684023,0,0,1.16696,0.921622,2.1103,0,0.0221004,0.3574,1.3526,0.2617,0.7524,0.5114,2.1398,0.9996,1.9988,0.3928,0.3799,0,0.8894,0,0,1.1405,1.0355,0.9024,0.4443,0,2.0044,0,1.01826,2.28196,0.104511,0.230254,0,1.30384,0.644448,1.4607,0.0595179,1.88487,0.997682,1.68185,0.72615,0.868147,0.0864639,0,1.43988,0.619988,0.649937,1.40576,0,2.46438
"ASL",0.506,0.026,0.3104,0.2995,0.7267,0.3321,0,0,0.2295,0.2843,0.1463,0.1568,0,0.0576,1.3016,0.5175,1.0553,0.5377,0.3633,0,0.7116,0.6465,0.5369,0.52224,1.15374,0.945481,1.22685,0.797365,0.610257,0.103129,1.1242,0.281656,1.08305,0.888899,0.418164,0.851337,0.850154,1.05057,0.267147,0.802755,0.546686,1.07883,0.773321,0.937864,0.224493,1.10715,0.9097,0.6934,0.3412,1.5355,0.7775,1.3286,0.9752,0.9201,0.5062,0.2688,0.6773,0.5944,0.5577,0.4807,1.0609,1.0133,1.2382,1.4629,0.8731,1.1768,0.8369,0.6793,0.4272,0.468316,0.681435,0.658067,0.773879,1.15232,1.01238,0.629507,0.699623,0.397733,0.975253,0.339288,0.296852,0.950581,0.784357,0.44655,0.890495,0.559742,0.602449,1.62007,0.921498,0.692355,0.59949,0
"MRPL45",0.5359,0.5954,0.5977,0.7948,1.4225,0.4028,0.5537,0.4552,0.8443,0.8181,0.2348,0.351,0.4261,0.4584,0.8878,0.4457,0.8977,0.8806,0.8297,0.6411,0.7559,0.18,0.4794,0.584078,0.976269,0.756977,0.343062,0.591351,0.81451,0.970793,0.505188,0.708892,1.808,0.549037,0.271886,0.957398,0.744213,1.41959,0.889287,0.8853,0.551547,0.607814,0.307215,0.636844,0.685834,0.953376,0.7053,0.7065,0.5445,0.653,0.5782,0.5307,0,0.6099,1.4997,0.3192,0.7618,0.1583,0.539,0.6676,0.3025,0.2476,0,0.0756998,0,0.6075,0.5007,1.0421,0.9984,0.912271,0.878631,1.03836,0.517078,0.417683,0.112564,0.776007,1.3351,0.978692,0.413983,0.716848,0.491357,1.44488,0.168607,1.59431,0.671389,0.156823,0.544542,0.580813,0.265111,0.936897,1.06091,1.42279
"GART",0.654,0.6449,0.8404,0.7029,0.8031,0.1825,0,0.1907,0.5359,0.6394,0.198,0.399,0.1737,0.3028,0.4925,0.2903,0.1396,0.5557,0.5898,0.482,1.0509,0.3423,0.5271,0.781756,1.09428,1.42188,0.762234,0.822738,0.735286,0.927944,0.528425,0.629117,0.882779,0.459798,1.03744,0.455875,0.969888,1.19591,0.805454,0.669342,0.507202,0.768812,0.670998,0.0197392,0.846261,0.878166,1.1288,0.6801,0.9207,1.057,0.852,0.7294,0.1498,0.1853,1.1168,0.497,0.8654,0.3103,0.7863,0.4807,0.9777,0.5033,0.0964003,0.597,0.5656,0.2552,0.1526,0.3004,0.6948,0.697165,1.23663,1.24404,1.00891,0.567784,0.541598,0.827325,0.981472,1.35897,0.820222,0.885728,0.734034,0.53272,0.456354,1.27645,0.945183,0.0904627,0.569645,0.719534,0.735068,0.759841,0.95561,1.01498
"ACAD9",0.3069,0.4481,0.6167,0.4638,0.6125,0.3321,0.0569,0.7168,0.7494,0.1664,0.5641,0.6538,0.0386,1.1359,0.6996,0.3628,0.6899,0.0721998,0.8548,0.619,0.5543,0.4042,0.578,1.13569,0.550209,1.0266,1.43497,1.05458,1.58349,0.937577,0.0605974,0.312027,0.668739,1.53224,1.08378,0.593829,0.898515,0.736874,0.621588,0.697029,0.779942,0.679649,0.798591,0,0.99326,1.00984,0.9927,0,0.8303,1.3861,0.5336,0.7181,0.0421,0,0.7197,0.7518,1.2812,0.1394,1.0817,0.4457,0.8292,0.6516,0.9037,0.5746,0.5949,0.5329,0,0.3209,1.5258,0.65169,1.01826,1.36936,0.255527,0.559842,0.700661,0.349603,0.644448,0.777085,0.642731,0.915306,0.355152,1.03854,0.0982332,0.735982,0.833652,0.576001,0.213979,0.499119,0.704121,0.251324,0.997477,1.98496
"POLK",0.7505,1.0054,0.7011,0.0578003,0.7931,0.1979,0.3513,0.6675,0.3938,0.7098,0.346,0.8231,0.3054,0.7833,0,0,0.6689,0.5664,0.2103,0.619,0.3812,0.0085001,0.0101995,0.437671,0.685297,0.473565,0.395407,0.884284,0.615472,0.57986,0.899064,0.717993,1.27108,0.650466,1.06258,0.555741,1.26202,1.03133,0.753631,1.1079,0.759083,0.789253,0.405059,0.622829,0.928544,0.739344,0.6592,0.9578,0.4214,0.3292,0.8474,1.0328,0.4316,0.3601,0.9319,1.1616,0.5946,0.4555,0.4483,0.727,0.7429,0.6279,0,0.648,0.9878,0.0881004,0.5728,0.5723,0.6661,1.19186,1.29429,1.08609,0.847069,0.807984,0.815422,0.621776,0.349003,1.23318,0.836827,0.994418,0.916115,1.38741,0.0982332,0.970761,0.284095,0.60798,0.997234,0.812652,0,1.16739,1.07215,1.31258
"CTNND1",1.1866,0.3536,0.5938,0.993,0.0186996,0.6009,0.7312,0.452,0.9271,0.5019,0.3088,0.6466,0.3415,0.2436,0.4608,1.0452,0.3384,0.6591,1.2373,1.1445,0.2402,0.4552,0.979,0.541071,0.773866,0,1.07465,0,0.594499,0.497595,0.551294,1.03445,1.56686,0.591669,1.09426,0.840816,1.04783,0.505459,1.54962,1.21392,1.311,0.841083,0.515859,0.528256,1.41939,0,0.3844,0,0.6811,0.7834,0.7486,1.0509,0.7123,0,1.8604,0.5933,0.1105,0.4166,0.5515,1.0242,1.1839,0.3882,0.5409,0.4322,1.2529,0,0.6663,0.2263,0.7231,1.19475,1.24964,0.817375,0.691487,0,0.59845,0.0256224,1.31757,1.53722,0,1.39979,0.271847,0.547787,0.611398,1.0373,0.850604,0.623707,1.00339,1.83509,0,0.616363,0.229641,0.933129
"ERI1",0.4497,0.5104,0.0158005,0.275,0.0186996,0.4928,0,0.1984,0.3545,0.4317,0.3182,0.7239,0,0.2097,0.3475,0.4662,0.3015,0.5875,0.0453997,0.6301,0.6832,0.3824,0.2202,0.444355,0.401153,0.676459,0.747206,1.16286,1.1272,0.737054,1.08295,1.09858,0.714163,0.567463,0.982057,0.536313,1.08688,0.795076,0.585955,0.636354,0.685817,0.630649,0.615202,0.300696,0.608757,1.02983,0.8356,1.1187,0.9966,0.8494,0.9819,1.2948,0.386,0.2311,0.9779,1.0385,0.7169,0.444,1.2787,0.6021,0.8947,1.2055,0,0.457,0.5538,0.5707,1.1975,0.8441,0.8564,0.80684,1.08876,1.16723,0.696778,1.05397,0.690238,0.66379,0.992561,0.659746,0.661496,0.76818,0.932164,1.13148,0.333633,1.13445,0.6752,0.600051,0.492987,1.35185,0,1.02966,0.979683,0.731859
"ELK1",0.254,0.4401,0.4986,1.1176,0.5635,0.7585,0.5617,0.0946999,0.4495,0.1754,1.1448,0,0.6246,0.4814,0.5174,0.5153,0.5735,0.3812,0.8655,0.6022,0.8225,0.4214,0.8859,0.955583,0.465141,0.616065,0.395407,1.2911,0.744835,0.57986,0.951582,1.18645,0.553506,1.10191,0.367196,0.455875,0.491201,1.09758,0.678283,1.39387,1.2966,1.43074,0,0,1.0476,1.09297,1.2323,0.0466995,0.1044,0.874,0.9184,1.0509,0.6403,0,0.4565,0.9684,0.8417,1.0783,1.1896,1.0657,0.6574,0.8334,0.6279,0.5746,1.014,0,0.5815,0.5023,0.1994,0.990736,0.810001,0.902779,0.143773,0.614537,0.470279,0.504763,0.314071,1.18982,0.274675,1.0339,1.09783,0.486551,0.751384,0.392118,0.479844,0.112924,0.927745,0.619988,0.84696,0.986037,1.15376,0.768626
"MOB2",1.0028,0.5737,0.7536,1.0709,0.7806,0.4601,0.339,0.6309,0.8767,0.8524,1.1165,0.7341,0.8585,0.4203,1.23,0.6128,1.1396,0.8014,1.3949,1.1957,1.1203,0.879,1.0287,0.503159,0.894968,1.0266,0.669627,0.69116,0.408744,0.980145,1.0777,0.353501,1.43198,0.808563,0.395734,1.04707,0,0.560187,0,0.48575,0.244491,0.607814,0.473339,0.776322,0.401833,1.29236,1.0771,0.3775,0.2038,1.1647,0.8966,0.3882,0.2294,0.3446,0.2637,0.0955,0.7492,0,0.4748,0.0501003,0.2699,0.7645,0.6831,0.8606,0.4488,0.5252,0.5417,0.8651,0.7856,0.359382,0.15392,0.363195,0.523046,0.62979,0.899271,0.776007,0.841299,0.438205,0.616045,0.386982,0.32143,0.372707,0.606796,0.800098,0.667567,0.501348,1.02775,1.02212,0.768359,1.00999,0.949528,0.379272
"USP36",1.4312,0.9587,0.8306,1.0005,0.9603,0.9523,0.6213,0.6869,1.2528,0.7529,1.082,0.7443,1.2488,1.1857,0.5509,1.0468,0.3582,0.5593,0.9479,0.7466,1.1455,0.5205,0.7465,0.787024,0.763723,1.19296,0.648216,1.11744,0.81451,0.858653,0.143201,0.497881,0.460607,1.024,0.247041,0.0620108,0.058836,0.93625,0.390306,0.76401,1.13112,0.848894,0.0155153,0,1.21297,0.953376,0.8832,0.0153999,0.7667,0.7624,0.0865002,0.1817,0.5271,0.12,0.6954,1.1666,1.1619,0.5555,0.9557,1.0136,0.7008,0,0.00399971,0.3815,0.5656,0.6922,0,0.5112,0.2776,0.733335,0.407222,1.46472,0.219229,0.860652,0.27484,0.321244,0.791375,0.922742,0.341363,0.771777,1.36938,1.05972,0,0.645805,0.667567,0,0.2763,0.992579,0.535055,0.258008,0.689816,1.07492
