"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"NFAM1",0.131538776697436,0.00405103739365079,1.73154783893049,0.087884108313113,0.32663769428259,-5.0210829839888,"NOT"
"ATP2C1",-0.104788276163105,0.00502605555379189,-1.73021153509935,0.0881241276070014,0.327464251735879,-5.02327631617103,"NOT"
"SLC35A3",-0.1195367345,-0.021972361047619,-1.72998525534767,0.0881648241262799,0.327549954593955,-5.0236475655556,"NOT"
"CD244",-0.13484176691282,0.00296835891111111,-1.72982954072673,0.0881928384693156,0.327588515778046,-5.02390301539349,"NOT"
"C5orf5",0.141485965521368,-0.044552404026455,1.72932579267239,0.0882835171506211,0.32785961689439,-5.02472927015193,"NOT"
"TRPA1",0.220815476105769,0.00799386519047619,1.72922803543907,0.0883011231332167,0.32785961689439,-5.02488958748558,"NOT"
"C10orf47",0.183871224714031,-0.0157522151710758,1.7288766875907,0.0883644244257211,0.328029086357353,-5.02546571330747,"NOT"
"YIPF3",0.18330960816891,0.0525097579063492,1.72867350335992,0.0884010485825734,0.328099476217759,-5.02579883767039,"NOT"
"HOXD12",0.101081269016382,-0.011570979335097,1.72808121760875,0.0885078800422963,0.328430359501737,-5.02676969711699,"NOT"
"CD68",0.302612133705769,0.106376288157143,1.72713224473569,0.0886792694018785,0.329000620812721,-5.02832459497538,"NOT"
"LOC401431",-0.143418737290954,-0.0161131853051146,-1.72663043411296,0.0887700094148448,0.329271504570718,-5.02914649920738,"NOT"
"ZNF228",0.142919279123576,-0.0652260915379189,1.72603077506312,0.0888785431723877,0.329608268710376,-5.03012838084586,"NOT"
"SLC35C1",-0.103755710285897,-0.014052289831746,-1.72450008623888,0.0891560818722612,0.330571532307211,-5.03263331679289,"NOT"
"FARS2",-0.134435974660256,0.0344467138888889,-1.72360888429335,0.0893179996421427,0.331105799511563,-5.03409081175573,"NOT"
"GPAA1",-0.168783593569231,-0.0170070007333333,-1.72345626702182,0.0893457521300816,0.33114259608308,-5.03434033694826,"NOT"
"CNBP",0.319670124008333,-0.0900587755603175,1.72330370087356,0.089373502416177,0.331179369815062,-5.03458975836301,"NOT"
