"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CD14",0.556179532775641,-0.103391578222222,4.55016217627456,2.27124965293142e-05,0.000499298621927268,2.45265256027135,"UP"
"CD19",-0.729833430903205,0.0217876933396825,-4.54898779889164,2.28098005660768e-05,0.000500844982642368,2.44862084168232,"DOWN"
"CHSY1",0.545626306428205,0.0770594597174603,4.53645580597951,2.38737211898815e-05,0.000521126022118964,2.40563137909632,"UP"
"MTHFS",0.507750753759615,0.0330695118095238,4.52606318500115,2.4792475572398e-05,0.000536045242279432,2.37002771660915,"UP"
"MCEMP1",0.931991473871795,0.357359100373016,4.52355340662437,2.50194518179085e-05,0.000538541526036463,2.36143597142509,"UP"
"PLEKHF1",-0.526521599520513,-0.0626027797269841,-4.52202383473732,2.51587706014602e-05,0.000540913567931394,2.35620099953556,"DOWN"
"GPR30",0.647416277355128,0.0685337919460317,4.51868097284937,2.54658800664463e-05,0.00054625194932368,2.34476325902971,"UP"
"AKAP7",1.11318140165641,0.256004960863492,4.50123289266798,2.71289214590779e-05,0.000576598220851066,2.28513610798472,"UP"
"HIST1H4H",0.723300159476282,0.0604417292888889,4.49758674825543,2.74895458140096e-05,0.000582264313615783,2.27269111207008,"UP"
"SLC2A14",0.611927188858262,0.132680676024691,4.49559689463468,2.76883136942333e-05,0.00058514006278052,2.2659016030097,"UP"
"MX2",0.556885378339744,0.0845628124603175,4.48915132025885,2.83418004097193e-05,0.000595562538926409,2.24391979465489,"UP"
"CYBB",0.520386438979808,0.109502772414286,4.48502837196434,2.87676380332777e-05,0.000602466340593198,2.22986776259662,"UP"
"TSEN34",0.517967511490385,0.0557367921904762,4.48223853537907,2.90593043204082e-05,0.000605842465831541,2.22036318922784,"UP"
"USP33",0.502430328691667,0.0608482152555556,4.48022261446772,2.92718463651866e-05,0.000609589482152137,2.2134971885373,"UP"
"SLAMF6",-0.540276079201282,-0.0445623953746032,-4.47955637069929,2.93424209939984e-05,0.000610374929881875,2.21122839741907,"DOWN"
"NMI",0.500551090935256,-0.0412055564698413,4.46300453781449,3.11497584333858e-05,0.000639378909015,2.15492130877331,"UP"
"PHC2",0.637997062789743,0.0681614988460317,4.45962837109429,3.15314628181298e-05,0.000646499396588939,2.14344969468417,"UP"
"LY96",1.10319686144103,-0.11043087291746,4.45295315831158,3.22995635908658e-05,0.00065584179396232,2.12078216757609,"UP"
"FCGR2A",0.638662506411539,0.0562396166857143,4.4529075918433,3.23048687271492e-05,0.00065584179396232,2.1206274964872,"UP"
"ACTN1",0.718111687727564,0.110354845873016,4.45042746798223,3.25948999636081e-05,0.000659567387498894,2.11221022796186,"UP"
"HK2",0.85574734235989,0.152565116877551,4.44569632884732,3.31551962670429e-05,0.000670175109746015,2.09616023094394,"UP"
"SLC31A2",0.565429596503205,0.0116482744126984,4.44442481508619,3.33073652024865e-05,0.000671788942455362,2.0918482871954,"UP"
"KIAA0319L",0.549625728560897,0.115982543174603,4.44376831289715,3.33861975196872e-05,0.000671919832205535,2.08962222319483,"UP"
"ANKRD33",0.619301595623718,0.086432561368254,4.41995005721556,3.63719960757862e-05,0.000718772552238091,2.00897917948154,"UP"
"NCF4",0.517376630827244,0.0888304242269841,4.41225439073636,3.73909338131579e-05,0.00073655492077695,1.98297349582887,"UP"
"LOC441268",0.55771540625609,0.129007535503175,4.40995798551899,3.77003147735012e-05,0.000737956846398902,1.97521809430749,"UP"
"PARP9",0.687652737994872,0.0893498743539683,4.40644739600099,3.81780806416932e-05,0.000742885177695691,1.9633663926885,"UP"
"CD79A",-0.737514705293803,0.116293666661376,-4.40607001454922,3.82297877686198e-05,0.000742885177695691,1.96209266308495,"DOWN"
"PRIC285",0.5874603252,0.101825213766667,4.40225045244688,3.87569647741042e-05,0.000750729278043544,1.94920429604688,"UP"
"HK3",0.585607299776282,0.00445626049841271,4.39039875274197,4.04380091722624e-05,0.000778406334696973,1.90925177381613,"UP"
"ULK1",0.522162503932051,0.0928103470650794,4.38778811693909,4.08176937151735e-05,0.000783294915757297,1.90045911467334,"UP"
"PELI1",0.502596176202564,-0.0283495875460317,4.3866649921969,4.0982099652758e-05,0.000785638269504264,1.89667729263696,"UP"
"SNX10",0.829196434185898,-0.0138814271111111,4.38033672666514,4.1920517496199e-05,0.000798682597958352,1.87537844177387,"UP"
"HIP1",0.509472181601852,0.0568457189082892,4.34942598534511,4.68118581967181e-05,0.000869577077862235,1.77158576272336,"UP"
