"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"fendiline MCF7 UP","1/117",0.0289124461657949,0.0595110095451088,0,0,42.8426724137931,151.812286231042,"CYP1B1"
"7646-79-9 CTD 00000928","3/3094",0.0289454638077843,0.0595110095451088,0,0,8.20317049498544,29.0584335549491,"PTEN;CYP1B1;DEGS1"
"Nandrolone phenpropionate BOSS","1/119",0.0294007963480031,0.0602224490250918,0,0,42.1122881355932,148.518818101686,"PTEN"
"luteolin CTD 00007430","1/120",0.0296448977618511,0.0602743124235422,0,0,41.7563025210084,146.918099412759,"CYP1B1"
"azacitidine PC3 UP","1/120",0.0296448977618511,0.0602743124235422,0,0,41.7563025210084,146.918099412759,"CYP1B1"
"niclosamide MCF7 UP","1/123",0.0303769073612365,0.061535573367799,0,0,40.7233606557377,142.29037805694,"CYP1B1"
"Dinoprostone CTD 00007049","1/127",0.0313522329588074,0.062818474037465,0,0,39.4226190476191,136.499627403737,"CYP1B1"
"daidzein CTD 00000166","1/127",0.0313522329588074,0.062818474037465,0,0,39.4226190476191,136.499627403737,"CYP1B1"
"methyprylon BOSS","1/127",0.0313522329588074,0.062818474037465,0,0,39.4226190476191,136.499627403737,"PTEN"
"formaldehyde CTD 00006001","3/3192",0.0315238287823026,0.0628803596988572,0,0,7.90498588899341,27.3276275196497,"HSDL2;PTEN;CYP1B1"
"rosiglitazone BOSS","1/129",0.0318396013720166,0.0628803596988572,0,0,38.802734375,133.754749699063,"PTEN"
"trichostatin A BOSS","1/129",0.0318396013720166,0.0628803596988572,0,0,38.802734375,133.754749699063,"PTEN"
"lorazepam BOSS","1/129",0.0318396013720166,0.0628803596988572,0,0,38.802734375,133.754749699063,"PTEN"
"methazolamide HL60 DOWN","1/131",0.0323267736057392,0.063514293172438,0,0,38.2019230769231,131.103632167658,"HSDL2"
"colchicine HL60 UP","1/132",0.0325702861721075,0.063514293172438,0,0,37.9083969465649,129.811803825291,"CYP1B1"
"harmine PC3 DOWN","1/133",0.0328137497211537,0.063514293172438,0,0,37.6193181818182,128.541736181638,"CYP1B1"
"Adenosine triphosphate BOSS","1/134",0.0330571642565278,0.063514293172438,0,0,37.3345864661654,127.292905972477,"PTEN"
"3,4-DICHLOROANILINE CTD 00000754","1/135",0.0333005297772172,0.063514293172438,0,0,37.0541044776119,126.064806275557,"CYP1B1"
"tetryzoline HL60 DOWN","1/135",0.0333005297772172,0.063514293172438,0,0,37.0541044776119,126.064806275557,"OSBPL1A"
"AG-012559 PC3 DOWN","1/135",0.0333005297772172,0.063514293172438,0,0,37.0541044776119,126.064806275557,"CYP1B1"
"genistein CTD 00007324","2/1231",0.033412850716267,0.063514293172438,0,0,10.1795497694603,34.5984034061402,"PTEN;CYP1B1"
"danazol HL60 DOWN","2/1233",0.033514641837665,0.063514293172438,0,0,10.1619279718386,34.5075992715653,"PTEN;CYP1B1"
"glutathione CTD 00006035","1/136",0.033543846303411,0.063514293172438,0,0,36.7777777777778,124.856945855798,"CYP1B1"
"MeIQx CTD 00001739","1/136",0.033543846303411,0.063514293172438,0,0,36.7777777777778,124.856945855798,"CYP1B1"
"methylergometrine HL60 UP","1/136",0.033543846303411,0.063514293172438,0,0,36.7777777777778,124.856945855798,"CYP1B1"
"thalidomide CTD 00006858","1/141",0.0347596941750011,0.0653884697277241,0,0,35.4553571428571,119.10506697069,"PTEN"
"docetaxel BOSS","1/142",0.0350027168516253,0.0653884697277241,0,0,35.2021276595745,118.009134401458,"PTEN"
"Bisphenol A CTD 00000312","2/1262",0.0350054775794601,0.0653884697277241,0,0,9.91269841269841,33.2298504651355,"PTEN;CYP1B1"
"diuron CTD 00005864","1/143",0.0352456905791907,0.0653884697277241,0,0,34.9524647887324,116.930395492764,"CYP1B1"
"genistein BOSS","1/143",0.0352456905791907,0.0653884697277241,0,0,34.9524647887324,116.930395492764,"PTEN"
"mefloquine MCF7 UP","1/143",0.0352456905791907,0.0653884697277241,0,0,34.9524647887324,116.930395492764,"CYP1B1"
"Decitabine BOSS","1/144",0.0354886153684594,0.0656182116376549,0,0,34.7062937062937,115.868465285128,"PTEN"
"TITANIUM DIOXIDE CTD 00000489","1/145",0.0357314912183606,0.0656268388710557,0,0,34.4635416666667,114.82297002328,"CYP1B1"
"(-)-isoprenaline HL60 DOWN","1/145",0.0357314912183606,0.0656268388710557,0,0,34.4635416666667,114.82297002328,"OSBPL1A"
"wortmannin CTD 00000504","1/146",0.0359743181439868,0.0658533199247067,0,0,34.2241379310345,113.793546729152,"PTEN"
"Arsenenous acid CTD 00000922","2/1283",0.0361022974592689,0.065860131937078,0,0,9.73926619828259,32.3479868119731,"PTEN;CYP1B1"
"etoposide HL60 UP","1/147",0.0362170961468868,0.065860131937078,0,0,33.9880136986301,112.779842848131,"CYP1B1"
"CHROMIUM CTD 00005668","1/148",0.0364598252430719,0.0660834332530677,0,0,33.7551020408163,111.781515855618,"CYP1B1"
"635-65-4 CTD 00005510","1/151",0.0371877191337034,0.0669622001394464,0,0,33.075,108.875514452474,"PTEN"
"HC toxin MCF7 DOWN","1/151",0.0371877191337034,0.0669622001394464,0,0,33.075,108.875514452474,"CYP1B1"
"carisoprodol BOSS","1/156",0.0383998980519023,0.06891968673159,0,0,32,104.310415177291,"PTEN"
"Pyruvic acid BOSS","1/158",0.0388844276575004,0.0695627261015673,0,0,31.5891719745223,102.575140708442,"PTEN"
"Sorafenib tosylate BOSS","1/160",0.0393687619262734,0.0699537870620888,0,0,31.188679245283,100.888597615061,"PTEN"
"trichostatin A ssMCF7 DOWN","1/161",0.0396108558318906,0.0699537870620888,0,0,30.9921875,100.062990050538,"CYP1B1"
"eugenol CTD 00005949","1/161",0.0396108558318906,0.0699537870620888,0,0,30.9921875,100.062990050538,"CYP1B1"
"ellipticine HL60 DOWN","1/161",0.0396108558318906,0.0699537870620888,0,0,30.9921875,100.062990050538,"CYP1B1"
"niclosamide PC3 UP","1/168",0.04130414695089,0.0724795699679631,0,0,29.6826347305389,94.5923939883117,"CYP1B1"
