"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070330","MF","GO:0070330","aromatase activity","1/11","25/18369",0.0148734351589105,0.0329340349947304,0.011183033954068,"CYP1B1",1
"GO:0034593","MF","GO:0034593","phosphatidylinositol bisphosphate phosphatase activity","1/11","26/18369",0.0154641673990572,0.0330613234048809,0.0112262558250869,"PTEN",1
"GO:0045834","BP","GO:0045834","positive regulation of lipid metabolic process","2/11","151/18614",0.00342697791496544,0.0338828622882873,0.0180367258682391,"ABHD5/DGAT2",2
"GO:0044272","BP","GO:0044272","sulfur compound biosynthetic process","2/11","155/18614",0.00360691123810369,0.0349848340000842,0.0186233339744588,"ACSL4/ACSL1",2
"GO:0007584","BP","GO:0007584","response to nutrient","2/11","156/18614",0.00365257646982934,0.0349848340000842,0.0186233339744588,"CYP1B1/ACSL1",2
"GO:0120254","BP","GO:0120254","olefinic compound metabolic process","2/11","158/18614",0.00374472326978622,0.0353156209904455,0.0187994204637041,"CYP1B1/DGAT2",2
"GO:0052866","MF","GO:0052866","phosphatidylinositol phosphate phosphatase activity","1/11","30/18369",0.0178238774617292,0.036836013420907,0.0125079841836696,"PTEN",1
"GO:0007009","BP","GO:0007009","plasma membrane organization","2/11","170/18614",0.00432034517928273,0.0401268423469745,0.0213605583026738,"PTEN/DEGS1",2
"GO:0055088","BP","GO:0055088","lipid homeostasis","2/11","172/18614",0.00442005172933599,0.0404401747773577,0.0215273532772059,"ABHD5/DGAT2",2
"GO:0006694","BP","GO:0006694","steroid biosynthetic process","2/11","175/18614",0.00457161926436456,0.0412118030743452,0.0219381110209445,"OSBPL1A/CYP27A1",2
"GO:0015248","MF","GO:0015248","sterol transporter activity","1/11","36/18369",0.0213538032235164,0.0427076064470329,0.0145017339378719,"OSBPL1A",1
"GO:0016620","MF","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","1/11","39/18369",0.023114437623996,0.0430219658668898,0.0146084773741561,"CYP27A1",1
"GO:0016712","MF","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","1/11","39/18369",0.023114437623996,0.0430219658668898,0.0146084773741561,"CYP1B1",1
"GO:0016709","MF","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","1/11","40/18369",0.0237006755501357,0.0430219658668898,0.0146084773741561,"CYP27A1",1
"GO:0016859","MF","GO:0016859","cis-trans isomerase activity","1/11","41/18369",0.0242865936345346,0.0430219658668898,0.0146084773741561,"DEGS1",1
"GO:1905952","BP","GO:1905952","regulation of lipid localization","2/11","182/18614",0.00493460777084028,0.0438393415003636,0.0233368178331119,"ABHD5/ACSL1",2
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","2/11","189/18614",0.00531058367397893,0.0451724420482664,0.0240464618098439,"CYP1B1/ACSL1",2
"GO:0030258","BP","GO:0030258","lipid modification","2/11","197/18614",0.00575605358139879,0.0451724420482664,0.0240464618098439,"PTEN/DGAT2",2
"GO:0006707","BP","GO:0006707","cholesterol catabolic process","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"CYP27A1",1
"GO:0015911","BP","GO:0015911","long-chain fatty acid import across plasma membrane","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"ACSL1",1
"GO:0016127","BP","GO:0016127","sterol catabolic process","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"CYP27A1",1
"GO:0042368","BP","GO:0042368","vitamin D biosynthetic process","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"CYP27A1",1
"GO:0061299","BP","GO:0061299","retina vasculature morphogenesis in camera-type eye","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"CYP1B1",1
"GO:0061365","BP","GO:0061365","positive regulation of triglyceride lipase activity","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"ABHD5",1
"GO:0090394","BP","GO:0090394","negative regulation of excitatory postsynaptic potential","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"PTEN",1
"GO:0097090","BP","GO:0097090","presynaptic membrane organization","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"PTEN",1
"GO:0097267","BP","GO:0097267","omega-hydroxylase P450 pathway","1/11","10/18614",0.00589526160499398,0.0451724420482664,0.0240464618098439,"CYP1B1",1
"GO:0006643","BP","GO:0006643","membrane lipid metabolic process","2/11","208/18614",0.00639581852006031,0.0484029228740367,0.0257661304901715,"CYP1B1/DEGS1",2
"GO:0046474","BP","GO:0046474","glycerophospholipid biosynthetic process","2/11","210/18614",0.00651550407883145,0.0487073658576058,0.0259281933817426,"ABHD5/PTEN",2
"GO:0016903","MF","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","1/11","48/18369",0.0283790778409065,0.0488750785037835,0.0165959519537465,"CYP27A1",1
"GO:0050821","BP","GO:0050821","protein stabilization","2/11","213/18614",0.00669696283146754,0.0492525691783935,0.0262184192415249,"PTEN/TBL1X",2
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","2/11","217/18614",0.00694250003997831,0.0492525691783935,0.0262184192415249,"ACSL4/ACSL1",2
"GO:0033629","BP","GO:0033629","negative regulation of cell adhesion mediated by integrin","1/11","12/18614",0.00707051564061767,0.0492525691783935,0.0262184192415249,"CYP1B1",1
"GO:0038183","BP","GO:0038183","bile acid signaling pathway","1/11","12/18614",0.00707051564061767,0.0492525691783935,0.0262184192415249,"DGAT2",1
"GO:0060134","BP","GO:0060134","prepulse inhibition","1/11","12/18614",0.00707051564061767,0.0492525691783935,0.0262184192415249,"PTEN",1
"GO:0071257","BP","GO:0071257","cellular response to electrical stimulus","1/11","12/18614",0.00707051564061767,0.0492525691783935,0.0262184192415249,"PTEN",1
"GO:0015485","MF","GO:0015485","cholesterol binding","1/11","50/18369",0.0295454894079108,0.0495086579267694,0.0168110892790389,"OSBPL1A",1
"GO:0044242","BP","GO:0044242","cellular lipid catabolic process","2/11","222/18614",0.00725517071744357,0.04993777676411,0.0265831730005566,"ABHD5/CYP1B1",2
"GO:0010896","BP","GO:0010896","regulation of triglyceride catabolic process","1/11","13/18614",0.00765766886757968,0.04993777676411,0.0265831730005566,"ABHD5",1
"GO:0036462","BP","GO:0036462","TRAIL-activated apoptotic signaling pathway","1/11","13/18614",0.00765766886757968,0.04993777676411,0.0265831730005566,"PTEN",1
"GO:0042362","BP","GO:0042362","fat-soluble vitamin biosynthetic process","1/11","13/18614",0.00765766886757968,0.04993777676411,0.0265831730005566,"CYP27A1",1
"GO:0048853","BP","GO:0048853","forebrain morphogenesis","1/11","13/18614",0.00765766886757968,0.04993777676411,0.0265831730005566,"PTEN",1
"GO:0061000","BP","GO:0061000","negative regulation of dendritic spine development","1/11","13/18614",0.00765766886757968,0.04993777676411,0.0265831730005566,"PTEN",1
